product_id,barcode,product_name,type,purchase_price,selling_price,price_without_taxes,selling_wcard,date,hour
83,10000082,Çiçekli Et,Etek,11.0,24.99,11.0,29.99,2014-12-30,19:57:44
494,10000503,4583 şıFONLU KAZAK,Kazak,15.0,29.99,15.0,34.99,2015-02-16,20:30:50
84,10000083,24106 Bluz,Bluz,23.98,44.99,23.98,49.99,2014-12-30,20:00:40
85,10000084,24106 Ekru Bluz,Bluz,23.95,44.99,23.95,49.99,2014-12-30,20:01:57
86,10000085,Bordo Pant,Pantolon,23.98,49.99,23.98,54.99,2014-12-30,20:05:12
1782,10001829,8053 CELıK TAYT,Tayt,19.44,39.99,18.0,44.99,2015-10-30,11:20:49
5068,10005270,Elbise,Elbise,48.0,94.95,48.0,104.95,2018-02-28,15:19:48
5150,10005353,22485 Puantiyeli Pliseli Etek,Etek,27.0,49.95,25.0,54.95,2018-03-14,20:31:06
5151,10005354,22522 Simli Dar Etek,Etek,14.04,29.95,13.0,34.95,2018-03-14,20:32:03
90,10000089,Hakı Pant,Pantolon,25.0,54.99,25.0,59.99,2014-12-30,20:34:11
5303,10005511,2954 Gömlek,Gömlek,30.0,59.95,30.0,64.95,2018-04-17,18:53:29
5302,10005510,41015 Tişört,TışÖRT,12.0,24.95,12.0,27.95,2018-04-17,18:52:18
96,10000095,Shanel Des.99015,Kazak,17.0,29.99,17.0,34.99,2014-12-30,20:53:02
97,10000096,3845 Etek,Etek,15.0,29.99,15.0,34.99,2014-12-30,20:56:29
98,10000097,1711 Pant ,Pantolon,18.0,44.99,18.0,49.99,2014-12-30,20:59:42
5161,10005364,Strd Triko ,Kazak,12.0,24.95,12.0,29.95,2018-03-15,11:13:20
99,10000098,20583 Gömlek,Gömlek,15.0,29.99,15.0,34.99,2014-12-30,21:05:22
100,10000099,20566 Kısa Gömlek Mavi,Gömlek,15.0,29.99,15.0,34.99,2014-12-30,21:06:39
101,10000100,20574 Hardal Gömlek ,Gömlek,23.0,44.99,23.0,49.99,2014-12-30,21:07:54
1668,10001711,Trıko Tunık,Kazak,17.0,29.99,17.0,34.99,2015-09-30,13:09:49
102,10000101,30304 Nakışlı Klasik,Gömlek,16.0,34.99,16.0,39.99,2014-12-30,21:09:10
966,10000994,Yuksek Bel Pant,Pantolon,15.0,29.99,15.0,34.99,2015-05-07,13:41:51
103,10000102,30304 Nakışlı Klasik ,Gömlek,16.0,34.99,16.0,39.99,2014-12-30,21:11:13
104,10000103,Kadife Elbise,Elbise,10.0,29.99,10.0,34.99,2014-12-30,21:13:28
105,10000104,30922 Nakışlı Bl,Bluz,38.0,44.9,38.0,49.9,2014-12-30,21:16:00
106,10000105,30752 Deri Bordo Bl,Bluz,11.0,34.99,11.0,39.99,2014-12-30,21:17:18
108,10000107,40463 Haki Elbise ,Elbise,22.0,49.99,22.0,54.99,2014-12-30,21:20:42
109,10000108,Beyaz Kürk,Mont,50.0,109.99,50.0,114.99,2014-12-30,21:38:46
5188,10005394,Kot Pantolon,Kot Pantolon,29.0,59.95,29.0,64.95,2018-03-24,11:24:55
111,10000110,Puskullü Büs,Büstiyer,16.0,29.99,16.0,34.99,2014-12-30,21:43:42
112,10000111,Uzun Kırmızı ,Kazak,19.0,44.99,19.0,49.99,2014-12-30,21:44:56
114,10000113,Mavi El.,Elbise,24.0,49.99,24.0,54.99,2014-12-30,21:47:21
115,10000114,Yanlar Açık Büs,Büstiyer,14.0,29.99,14.0,34.99,2014-12-30,21:48:16
117,10000116,1402233 Orgü Etek,Etek,13.0,29.99,13.0,34.99,2014-12-30,22:10:31
118,10000117,4572 Degaje El,Elbise,20.0,34.99,20.0,39.99,2014-12-30,22:12:06
380,10000388,Deri Etek Busem,Etek,15.0,34.9,15.0,39.99,2015-01-29,11:23:44
119,10000118,3014 Degaf-je Yaka Çiçekli,Kazak,20.0,34.99,20.0,39.99,2014-12-30,22:13:02
120,10000119,3027 Zebra Desen,Kazak,20.0,39.99,20.0,44.99,2014-12-30,22:13:52
122,10000121,4576 Metal Apoletli Tunik,Kazak,25.0,34.9,25.0,39.9,2014-12-30,22:17:02
124,10000123,Jakar Etek,Etek,16.0,34.99,16.0,39.99,2014-12-30,22:19:22
125,10000124,Jakar Kısa Bl,Bluz,16.0,34.99,16.0,39.99,2014-12-30,22:20:22
126,10000125,Büstiyer,Büstiyer,11.0,29.99,11.0,34.99,2014-12-30,22:25:37
127,10000126,Etek Siyah,Etek,11.0,29.99,11.0,34.99,2014-12-30,22:26:31
128,10000127,Büstiyer Deri,Büstiyer,16.0,34.99,16.0,39.99,2014-12-30,22:27:53
129,10000128,Deri El,Elbise,25.0,49.99,25.0,54.99,2014-12-30,22:28:55
130,10000129,Kırmızı Etek,Etek,20.0,39.99,20.0,44.99,2014-12-30,22:30:11
132,10000131,2088 Fitilli Balıkçı,Kazak,11.0,29.99,11.0,34.99,2014-12-30,22:35:50
134,10000133,Siyah Kumaş,Pantolon,23.0,49.99,23.0,54.99,2014-12-30,22:39:49
138,10000137,Etek ,Etek,16.0,29.99,16.0,34.99,2014-12-30,22:44:47
139,10000138,Deri Kalem Etek ,Etek,14.0,34.99,14.0,39.99,2014-12-30,22:46:59
140,10000139,Bordo Derili Kazak,Kazak,22.0,44.99,22.0,49.99,2014-12-30,22:50:36
5069,10005271,Ceket Elbise,Elbise,55.0,99.95,55.0,109.95,2018-02-28,15:20:33
5070,10005272,Pull Detay Bluz,Bluz,35.0,69.95,35.0,74.95,2018-02-28,15:21:19
143,10000142,Etek Siyah Valonlu ,Etek,10.0,29.99,10.0,34.99,2014-12-30,22:54:33
145,10000144,Aslanlı Triko Siyah,Kazak,17.0,34.99,17.0,39.99,2014-12-30,22:56:59
5152,10005355,22176 Desenli Fırfır Etek,Etek,41.04,74.95,38.0,79.95,2018-03-14,20:32:59
149,10000148,şişme Yelek Beyaz,Yelek,20.0,39.99,20.0,44.99,2014-12-30,23:19:08
151,10000150,Kısa Triko,Kazak,10.0,29.99,10.0,34.99,2014-12-30,23:22:36
152,10000151,Boğazlı Uz.Triko Siyah,Kazak,13.0,34.99,13.0,39.99,2014-12-30,23:24:22
154,10000153,Kase Etek,Etek,10.0,24.99,10.0,29.99,2014-12-30,23:26:26
287,10000289,Kulaklık,,3.5,10.0,3.5,12.0,2015-01-08,17:03:23
155,10000154,Kadife Etek ,Etek,10.0,24.99,10.0,29.99,2014-12-30,23:27:27
156,10000155,Kurk Deri Mont,Mont,15.0,29.99,15.0,34.99,2014-12-30,23:28:29
157,10000156,Kısa Trıko Omuz Yırtık,Kazak,12.0,29.99,12.0,34.99,2014-12-30,23:29:55
158,10000157,Triko Elbise,Elbise,15.0,29.99,15.0,34.99,2014-12-30,23:31:12
159,10000158,Zincirli Hırka,Hırka,13.0,34.99,13.0,39.99,2014-12-30,23:32:15
1016,10001046,2511 -4588 KOT şORT,şORT,13.0,24.99,13.0,27.99,2015-05-16,15:15:53
163,10000162,Kot ,Pantolon,35.0,69.99,35.0,74.99,2014-12-30,23:40:48
165,10000164,Derili Balık Sırtı Tayt,Tayt,15.0,29.99,15.0,34.99,2014-12-30,23:43:14
344,10000347,1311,Gömlek,13.5,29.9,13.5,34.9,2015-01-23,18:27:12
168,10000167,Kot Tayt,Tayt,13.0,25.99,13.0,29.99,2014-12-30,23:49:38
169,10000168,Çelikli Tayt,Tayt,15.0,29.99,15.0,34.99,2014-12-30,23:50:34
662,10000675,Pileli Etek,Etek,15.0,29.99,15.0,34.99,2015-03-10,11:58:53
171,10000170,Siyah Yüksek Bel ,Pantolon,19.0,39.99,19.0,44.99,2014-12-30,23:53:35
495,10000505,4511 KISA ÇıZGıLı KAZAK,Kazak,14.0,26.99,14.0,29.99,2015-02-16,20:48:27
172,10000171,Yüksek Bel Kot,Kot,20.0,44.99,20.0,49.99,2014-12-30,23:56:14
5020,10005222,2928 Hıgher Baskılı Tişört,TışÖRT,17.0,34.95,17.0,39.95,2018-02-09,17:44:08
174,10000173,Deri Görünümlü Pant,Pantolon,30.0,69.99,30.0,74.99,2014-12-30,23:59:16
5304,10005512,737 Etek,Etek,37.0,69.95,37.0,74.95,2018-04-17,18:54:53
190,10000190,Kolye,Kolye,12.5,24.99,12.5,29.99,2014-12-31,17:43:34
191,10000191,Kolye,Kolye,12.5,24.99,12.5,29.99,2014-12-31,17:45:40
195,10000195,Kolye,Kolye,12.5,24.99,12.5,29.99,2014-12-31,17:52:02
5179,10005384,V Yaka Düz Tişört,TışÖRT,10.0,19.95,10.0,22.95,2018-03-20,18:39:46
199,10000199,Kolye,Kolye,20.0,34.99,20.0,39.99,2014-12-31,18:04:07
202,10000202,Kolye,Kolye,15.0,29.99,15.0,34.99,2014-12-31,18:11:42
203,10000203,Kolye,Kolye,12.5,24.99,12.5,29.99,2014-12-31,18:13:18
213,10000213,Kolye,Kolye,12.5,24.99,12.5,29.99,2014-12-31,18:32:46
216,10000216,Kolye,Kolye,9.0,24.99,9.0,29.99,2014-12-31,18:41:52
219,10000219,Kolye,Kolye,7.5,24.99,7.5,26.99,2014-12-31,18:48:36
220,10000220,Kolye,Kolye,7.5,24.99,7.5,29.99,2014-12-31,18:50:31
229,10000229,Bileklik,Bileklik,12.5,24.99,12.5,29.99,2014-12-31,19:10:41
762,10000779,KOT GÖMLEK,Gömlek,22.0,37.99,22.0,42.99,2015-04-06,22:37:57
240,10000240,8008 Çanta,Canta,20.0,49.99,20.0,54.99,2014-12-31,20:01:17
243,10000243,Abiye Çanta,Canta,20.0,39.99,20.0,44.99,2014-12-31,20:04:25
244,10000244,Abiye Çanta ,Canta,22.0,44.99,22.0,49.99,2014-12-31,20:05:50
248,10000248,Kamuflaj El.,Elbise,20.0,29.9,20.0,34.9,2014-12-31,20:53:37
249,10000249,Haki El,Elbise,18.0,39.99,18.0,44.99,2014-12-31,20:54:27
5284,10005492,1735 Gömlek,Gömlek,25.0,54.95,25.0,59.95,2018-04-17,18:15:51
5283,10005490,11204 Hardal Elbise,Elbise,60.0,114.95,60.0,124.95,2018-04-17,18:05:14
256,10000256,Kolye,Kolye,15.0,24.99,15.0,29.99,2015-01-07,22:03:37
263,10000263,Kaz Ayğı Bl,Bluz,15.0,29.99,15.0,32.99,2015-01-07,22:28:51
264,10000264,Çiçekli Bl,Bluz,24.0,39.99,24.0,44.99,2015-01-07,22:31:59
265,10000265,Derili Bl,Bluz,15.0,29.99,15.0,34.99,2015-01-07,22:32:37
266,10000266,Keçe Hrk,Hırka,15.0,24.99,15.0,29.99,2015-01-07,22:38:20
270,10000270,Etek Kaşe,Etek,10.0,24.99,10.0,29.99,2015-01-07,22:56:55
761,10000778,LAZER KESıM ETEK VE BLUZ TAKIM,Elbise,40.0,74.99,40.0,79.99,2015-04-06,22:16:28
291,10000293,Elbise,Elbise,10.0,29.99,10.0,34.99,2015-01-13,20:43:58
273,10000274,Etek,Etek,22.0,39.99,22.0,44.99,2015-01-07,23:28:09
275,10000276,Deri,Etek,10.0,24.99,10.0,29.99,2015-01-07,23:35:36
276,10000277,Kabarık Et,Etek,10.0,24.99,10.0,29.99,2015-01-07,23:36:14
277,10000278,Fermuarlı Bl,Bluz,15.0,24.99,15.0,29.99,2015-01-07,23:43:52
379,10000387,YÜKSEK BEL,Pantolon,16.0,34.9,16.0,39.9,2015-01-24,13:48:18
278,10000280,Tüllü Bl,Bluz,14.0,29.99,14.0,34.99,2015-01-07,23:52:43
279,10000281,Kareli Kısa Göm,Gömlek,15.0,29.99,15.0,34.99,2015-01-07,23:59:50
280,10000282,Kaşe Etek,Etek,16.0,29.99,16.0,34.99,2015-01-08,00:03:41
281,10000283,Kazak,Kazak,15.0,29.99,15.0,34.99,2015-01-08,00:14:07
282,10000284,Kazak,Kazak,18.0,34.99,18.0,39.99,2015-01-08,00:18:56
283,10000285,Kot,Kot,17.5,39.99,17.5,44.99,2015-01-08,00:23:35
5160,10005363,Kabartma Bluz,Bluz,10.0,29.95,10.0,34.95,2018-03-15,11:12:26
284,10000286,Dizi Yırtık Kot,Kot,21.0,44.99,21.0,49.99,2015-01-08,00:28:19
285,10000287,Kot Dizi Yırtık,Kot,23.0,49.99,23.0,0.0,2015-01-08,00:33:07
286,10000288,Yüksek Bel ,Kot,21.0,44.99,21.0,49.99,2015-01-08,00:38:43
288,10000290,Yanı Derili T.,Tayt,11.0,24.9,11.0,0.0,2015-01-10,10:59:21
289,10000291,Yanı Kapıtoneli T.,Tayt,11.0,24.99,11.0,29.99,2015-01-10,11:00:25
290,10000292,Valonlu Etek,Etek,10.0,24.99,10.0,29.99,2015-01-10,12:34:12
292,10000294,Elbise 15174,Elbise,10.0,29.99,10.0,34.99,2015-01-13,20:47:06
295,10000297,0013 Etek,Etek,13.5,24.99,13.5,29.99,2015-01-13,20:59:12
296,10000298,0014 Etek,Etek,13.5,24.99,13.5,29.99,2015-01-13,21:00:35
297,10000299,0015 Etek,Etek,14.0,24.99,14.0,29.99,2015-01-13,21:01:37
300,10000302,14874 Pant,Pantolon,10.0,49.99,10.0,54.99,2015-01-13,21:10:35
301,10000303,15297 Tayt,Tayt,10.0,29.99,10.0,34.99,2015-01-13,21:11:53
3060,10003173,sırtı çapraz kazak,Kazak,16.0,29.99,16.0,34.99,2016-11-04,20:42:00
305,10000307,15252 Gömlek,Gömlek,10.0,24.99,10.0,29.99,2015-01-13,21:39:26
306,10000308,4448 Siyah Bluz,Bluz,26.0,49.99,26.0,54.99,2015-01-13,21:46:30
307,10000309,4603 Tüllü Bl,Bluz,13.0,29.99,13.0,34.99,2015-01-13,21:47:49
308,10000310,Gömlek,Gömlek,20.0,39.99,20.0,44.99,2015-01-13,21:49:41
309,10000311,Elbise,Elbise,20.0,39.99,20.0,44.99,2015-01-13,21:51:47
310,10000312,Elbise,Elbise,22.0,44.99,22.0,49.99,2015-01-13,21:52:20
5153,10005356,21986 Zara Yağmurluk,TRENÇKOT,91.8,174.95,85.0,184.95,2018-03-14,20:34:47
5154,10005357,21766 Yağmurluk ,Yagmurluk,97.2,164.95,90.0,174.95,2018-03-14,20:37:29
313,10000315,4127 Ceket ,Ceket,27.0,49.99,27.0,54.99,2015-01-13,21:58:29
314,10000316,Etek ,Etek,19.0,29.99,19.0,34.99,2015-01-13,22:03:11
5155,10005358,22577 sıvama  Pantolon,Pantolon,32.4,59.95,30.0,64.95,2018-03-14,20:39:32
317,10000319,Kısa Gömlk,Gömlek,12.0,24.99,12.0,29.99,2015-01-13,22:12:15
318,10000320,Kısa Gmlk,Gömlek,11.0,24.99,11.0,29.99,2015-01-13,22:12:57
319,10000321,Gmlk,Gömlek,17.0,34.99,17.0,39.99,2015-01-13,22:14:47
321,10000323,Kazak,Kazak,15.0,34.99,15.0,39.99,2015-01-13,22:23:21
464,10000474,Yarasa Kol Kısa Gömlek ,Gömlek,14.0,24.99,14.0,29.99,2015-02-07,14:21:02
322,10000324,Püs. Büs,Büstiyer,20.0,39.99,20.0,44.99,2015-01-13,22:26:57
323,10000325,Etek,Etek,26.0,49.99,26.0,54.99,2015-01-13,22:28:35
324,10000326,Pant.,Pantolon,23.0,49.99,23.0,54.99,2015-01-13,22:30:12
325,10000327,5908,Büstiyer,18.0,34.99,18.0,39.99,2015-01-13,22:32:47
326,10000328,4585 Kazak,Kazak,15.0,29.99,15.0,34.99,2015-01-13,22:35:17
329,10000331,Boğ. Kazak,Kazak,10.0,29.99,10.0,34.99,2015-01-13,22:44:22
330,10000332,Kazak,Kazak,10.0,29.99,10.0,34.99,2015-01-13,22:45:39
332,10000335,şifon Bl,Bluz,10.0,24.99,10.0,29.99,2015-01-13,22:51:44
333,10000336,Kaşe Etek,Etek,10.0,24.99,10.0,29.99,2015-01-13,22:53:13
334,10000337,Triko Et,Etek,15.0,29.99,15.0,34.99,2015-01-13,22:54:09
336,10000339,Yüksek Bel Pant,Pantolon,20.0,44.99,20.0,49.99,2015-01-13,22:56:43
338,10000341,Sweat,Sweat,6.5,24.99,6.5,29.99,2015-01-13,23:00:59
339,10000342,Kısa Kazak,Kazak,10.0,24.99,10.0,29.99,2015-01-13,23:01:47
340,10000343,1287 Kazak,Kazak,13.0,29.99,13.0,34.99,2015-01-13,23:03:50
341,10000344,5333 Kazak,Kazak,22.0,44.99,22.0,49.99,2015-01-13,23:05:09
342,10000345,5341 Kazak ,Kazak,21.0,44.99,21.0,49.0,2015-01-13,23:06:03
345,10000348,Gömlekli Triko,Gömlek,12.5,24.9,12.5,29.9,2015-01-23,18:33:37
346,10000350,Eşofman,Eşofman,40.0,89.9,40.0,94.9,2015-01-23,18:44:05
347,10000351,Peluş Ceket,Ceket,0.0,54.9,0.0,59.9,2015-01-23,18:50:30
349,10000355,V Yaka Kazak,Kazak,13.0,24.9,13.0,29.9,2015-01-23,18:59:41
351,10000357,Çapraz Kollu Triko,Kazak,16.0,29.9,16.0,34.9,2015-01-23,19:07:32
352,10000358,Yaka Açık Triko,Kazak,12.0,24.9,12.0,34.9,2015-01-23,19:10:37
353,10000359,Yaka Taşlı Triko,Kazak,21.0,44.9,21.0,49.9,2015-01-23,19:16:56
546,10000556,CEPLı KAZAK,Kazak,15.0,29.99,15.0,34.99,2015-02-25,22:17:14
354,10000360,Derili K.Ceket,Ceket,15.0,44.9,15.0,49.9,2015-01-23,19:20:53
357,10000364,DERı AKS. ETEK,Etek,18.0,34.9,18.0,39.99,2015-01-23,19:39:39
713,10000727,8259 DESENLı GÖMLEK,Gömlek,13.0,24.99,13.0,29.99,2015-03-25,22:06:19
358,10000365,Valonlu Etek,Etek,10.0,24.9,10.0,29.9,2015-01-23,19:41:37
363,10000370,A.ÇAPRAZ BODY,Body,15.0,29.9,15.0,34.9,2015-01-23,20:06:26
364,10000371,KOT GÖMLEK TRıKOLU,Gömlek,20.0,44.9,20.0,49.9,2015-01-23,20:09:25
365,10000372,KOT GÖMLEK,Gömlek,22.0,44.9,22.0,49.9,2015-01-23,20:10:45
366,10000373,ELBıSE,Elbise,22.0,44.9,22.0,49.9,2015-01-23,20:14:40
367,10000374,ÇıÇEKLı ELBıSE,Elbise,22.0,44.9,22.0,49.9,2015-01-23,20:16:43
368,10000375,KISA GÖMLEK,Gömlek,18.0,34.99,18.0,39.99,2015-01-23,20:31:31
369,10000376,ÇıFT TARAFLI TRıKO,Kazak,12.0,24.9,12.0,29.9,2015-01-23,20:35:22
371,10000378,BÜSTıYER,Büstiyer,17.0,34.9,17.0,39.9,2015-01-23,20:45:20
373,10000380,DESENLı GÖMLEK,Gömlek,23.0,44.9,23.0,49.9,2015-01-23,20:54:26
374,10000381,ÇıZGıLı KAZAK,Kazak,14.0,29.9,14.0,34.9,2015-01-23,20:57:32
375,10000382,HIRKA,Hırka,20.0,39.9,20.0,44.9,2015-01-23,20:59:21
376,10000383,DERıLı TAYT,Tayt,13.0,24.9,13.0,29.9,2015-01-23,21:08:08
382,10000390,KISA GÖMLEK,Gömlek,15.0,27.99,15.0,33.99,2015-01-30,20:24:25
383,10000391,OMUZ ZıNCıRLı GÖMLEK,Gömlek,18.5,29.99,18.5,34.99,2015-01-30,20:27:12
384,10000393,GÖMLEK,Gömlek,13.5,24.99,13.5,29.99,2015-01-30,20:39:11
5159,10005362,Elbise Rozanna,Elbise,35.0,69.95,35.0,74.95,2018-03-15,11:11:48
392,10000401,2010 DESENLı YAKA TAşLI,Gömlek,23.0,34.9,23.0,39.9,2015-01-30,21:25:24
393,10000402,2012 DESENLı YAKA TAşLI,Gömlek,24.0,44.9,24.0,49.9,2015-01-30,21:27:06
394,10000403,2013 DESENLı YAKA TAşLI,Gömlek,24.0,34.9,24.0,39.9,2015-01-30,21:29:34
395,10000404,2083 DÜZ YAKA TAşLI,Gömlek,24.0,44.9,24.0,49.9,2015-01-30,21:30:39
396,10000405,701 DıZ YIRTIK JEANS,Kot Pantolon,25.0,44.99,25.0,49.99,2015-01-30,21:33:46
399,10000408,KISA HIRKA,Hırka,15.0,29.99,15.0,34.99,2015-01-30,21:51:50
400,10000409,şıFONLU TRıKO,Kazak,15.0,29.99,15.0,34.99,2015-01-30,21:53:11
1675,10001718,485 Triko,Kazak,25.0,49.99,25.0,54.99,2015-10-07,19:01:47
403,10000412,KAZ AYAğI şışME MONT,Mont,27.0,49.9,27.0,54.9,2015-01-30,22:03:44
493,10000502,Hakim Yaka Gömlek,Gömlek,21.0,34.99,21.0,39.99,2015-02-10,11:35:13
406,10000415,MıDı BOY ETEK,Etek,15.0,29.99,15.0,34.99,2015-01-30,22:11:18
407,10000417,KOT YAKA TRıKO,Kazak,20.0,44.9,20.0,49.9,2015-01-30,22:22:04
408,10000418,ARKA ÇAPRAZLI BODY,Body,15.0,29.99,15.0,34.99,2015-01-30,22:24:35
410,10000420,KıMONO,Hırka,25.0,49.99,25.0,54.99,2015-01-30,22:32:32
413,10000423,12100 YARIM HIRKA,Hırka,20.0,39.99,20.0,44.99,2015-01-30,22:47:46
414,10000424,12105 UZUN HIRKA,Hırka,15.0,29.99,15.0,34.99,2015-01-30,22:49:46
415,10000425,1297 V YAKA TRıKO,Kazak,12.0,24.99,12.0,29.99,2015-01-30,22:52:27
416,10000426,KISA KAZAK,Kazak,12.0,24.99,12.0,29.99,2015-01-30,22:55:19
417,10000427,şışME MONT,Mont,18.0,39.99,18.0,44.99,2015-01-30,22:57:43
419,10000429,ZıNCıRLı BODY,Body,13.0,24.99,13.0,29.99,2015-01-30,23:10:25
420,10000430,YIRTIK TRıKO,Kazak,15.0,29.99,15.0,34.99,2015-01-30,23:12:41
5158,10005361,Çizgili Triko ,Kazak,25.0,49.95,25.0,54.95,2018-03-15,11:06:16
426,10000436,0006 KAPşONLU HIRKA,Hırka,14.0,29.99,14.0,34.99,2015-02-06,22:59:14
